관할동,설치위치도로명주소,관리부서연락처
응암2동,서울특별시 은평구 응암로22길 백련산 자이아파트 소공원 앞,02-351-5246
응암2동,서울특별시 은평구 응암로22길33,02-351-5246
응암2동,서울특별시 은평구 응암로24길14,02-351-5246
응암2동,서울특별시 은평구 응암로16길23,02-351-5246
응암2동,서울특별시 은평구 응암로20길20,02-351-5246
응암2동,서울특별시 은평구 백련산로91-14,02-351-5246
응암2동,서울특별시 은평구 응암로 28-40,02-351-5246
응암2동,서울특별시 은평구 응암로 22길 8,02-351-5246
응암3동,서울특별시 은평구 응암로12길 12-43,02-351-5294
응암3동,서울특별시 은평구 응암로12길 32-1,02-351-5294
응암3동,서울특별시 은평구 가좌로7나길 30,02-351-5294
응암3동,서울특별시 은평구 가좌로7라길 14,02-351-5294
응암3동,서울특별시 은평구 응암로25길 8,02-351-5294
응암3동,서울특별시 은평구 가좌로9길 11,02-351-5294
응암3동,서울특별시 은평구 가좌로244-18,02-351-5294
응암3동,서울특별시 은평구 가좌로7나길 7-2,02-351-5294
응암3동,서울특별시 은평구 응암로14길 11,02-351-5294
응암3동,서울특별시 은평구 응암로29길 15,02-351-5294
역촌동,서울특별시 은평구 진흥로7가길 12-14,02-351-5323
역촌동,서울특별시 은평구 연서로3길 23,02-351-5323
역촌동,서울특별시 은평구 진흥로7나길 14,02-351-5323
역촌동,서울특별시 은평구 갈현로14길 7,02-351-5323
역촌동,서울특별시 은평구 역말로4길 4,02-351-5323
역촌동,서울특별시 은평구 진흥로1길 32-25,02-351-5323
역촌동,서울특별시 은평구 연서로3길 18,02-351-5323
역촌동,서울특별시 은평구 연서로8길 12-3,02-351-5323
역촌동,서울특별시 은평구 갈현로9길 7,02-351-5323
역촌동,서울특별시 은평구 연서로2길 20,02-351-5323
역촌동,서울특별시 은평구 은평로3길 23-7,02-351-5323
역촌동,서울특별시 은평구 연서로3나길 5-1,02-351-5323
역촌동,서울특별시 은평구 연서로6길 6,02-351-5323
역촌동,서울특별시 은평구 연서로6길 16,02-351-5323
역촌동,서울특별시 은평구 갈현로14길 29,02-351-5323
역촌동,서울특별시 은평구 진흥로7가길 3-3,02-351-5323
역촌동,서울특별시 은평구 역말로79 골목 안쪽 전주앞,02-351-5323
역촌동,서울특별시 은평구 연서로10길 7-17,02-351-5323
역촌동,서울특별시 은평구 연서로3길 27,02-351-5323
신사1동,서울특별시 은평구 갈현로 10-8,02-351-5354
신사1동,서울특별시 은평구 은평로 53-2,02-351-5354
신사1동,서울특별시 은평구 갈현로 7-6,02-351-5354
신사1동,서울특별시 은평구 갈현로3길6-3,02-351-5354
신사1동,서울특별시 은평구 증산로19길 14,02-351-5354
신사1동,서울특별시 은평구 갈현로 7-3,02-351-5354
신사1동,서울특별시 은평구 갈현로2가길 4 A동앞,02-351-5354
신사1동,서울특별시 은평구 갈현로 1길 28,02-351-5354
신사2동,서울특별시 은평구 증산로17길 7,02-351-5366
신사2동,서울특별시 은평구 증산로15길 66,02-351-5366
신사2동,서울특별시 은평구 증산로17가길 11,02-351-5366
신사2동,서울특별시 은평구 은평터널로7가길 2,02-351-5366
신사2동,서울특별시 은평구 증산로17길 47,02-351-5366
신사2동,서울특별시 은평구 가좌로 275-3,02-351-5366
신사2동,서울특별시 은평구 은평터널로5길 16,02-351-5366
신사2동,서울특별시 은평구 증산로17가길 4,02-351-5366
신사2동,서울특별시 은평구 은평터널로7길 7-5,02-351-5366
신사2동,서울특별시 은평구 은평터널로 186,02-351-5366
신사2동,서울특별시 은평구 증산로17가길 2-1,02-351-5366
신사2동,서울특별시 은평구 증산로15가길 15,02-351-5366
증산동,서울특별시 은평구 증산로서길 125-39,02-351-5396
증산동,서울특별시 은평구 증산서길 125-63,02-351-5396
증산동,서울특별시 은평구 증산로13가길 20-1,02-351-5396
증산동,서울특별시 은평구 증산로7길32-12,02-351-5396
증산동,서울특별시 은평구 증산로13길 28,02-351-5396
증산동,서울특별시 은평구 증산서길 125-69,02-351-5396
증산동,서울특별시 은평구 증산로9길 38,02-351-5396
증산동,서울특별시 은평구 증산로253,02-351-5396
증산동,서울특별시 은평구 증산로7길 6-13,02-351-5396
증산동,서울특별시 은평구 증산로5길 13,02-351-5396
증산동,서울특별시 은평구 증산로3길 8-22,02-351-5396
증산동,서울특별시 은평구 증산서길 63-12,02-351-5396
증산동,서울특별시 은평구 증산로291,02-351-5396
증산동,서울특별시 은평구 증산로13길 4,02-351-5396
수색동,서울특별시 은평구 은평터널로2길 15,02-351-5426
수색동,서울특별시 은평구 수색로22길 5-1,02-351-5426
수색동,서울특별시 은평구 수색로22길 27,02-351-5426
진관동,서울특별시 은평구 진관동 125-22,02-351-5474
진관동,서울특별시 은평구 연서로54길 삼천교,02-351-5474
